Gender,Age,Height,Weight,Physical exercise,BMR,Calories,Fat,SaturatedFat,Cholesterol,Sodium,Carbs,Fiber,Sugar,Protein
1,38,174.92,85.49,1,1616.63,2264.59,63.04,18.93,174.84,1940.93,356.73,27.02,39.62,69.22
1,51,157.88,69.78,1,1370.14,1837.04,51.14,15.35,166.39,1831.67,288.19,27.16,32.87,69.18
0,29,177.33,82.48,4,1732.89,3126.43,86.8,26.1,233.44,1925.68,504.94,25.78,41.51,66.56
0,69,173.53,43.46,4,1265.37,2224.14,61.12,18.44,218.3,1798.27,346.61,27.38,37.47,43.3
1,25,202.62,78.86,1,1692.68,2415.67,67.25,20.11,194.38,1792.21,400.42,28.13,40.22,63.45
0,22,161.25,101.11,0,1922.89,2281.52,62.9,18.86,220.3,1826.81,347.33,24.89,44.14,81.22
0,39,153.76,65.17,1,1355.48,1867.97,51.82,15.55,205.99,1875.4,293.11,26.28,38.09,53.36
0,16,201.74,69.97,2,1720.69,2316.61,64.44,19.3,255.17,1981.08,367.49,28.76,43.24,56.02
1,36,171.96,73.07,4,1513.29,2744.89,76.14,22.81,184.85,2058.89,470.4,27.18,40.76,58.74
0,67,180.06,82.95,3,1588.81,2762.04,76.39,22.78,244.61,2006.33,408.13,29.41,34.37,83.13
0,11,170.65,69.84,4,1578.28,2919.49,81.36,24.3,271.77,1975.46,494.06,28.97,42.97,55.86
1,26,175.86,30.36,3,1243.47,2439.55,67.54,20.44,167.0,1693.47,430.32,27.7,37.54,34.42
1,61,176.06,85.97,4,1563.27,2948.19,81.61,24.47,173.73,2064.56,474.12,27.49,33.05,85.09
0,73,171.18,87.07,1,1529.92,2167.59,60.1,18.03,240.68,1857.65,316.23,25.89,40.49,87.14
1,26,164.4,113.95,0,1882.02,2385.44,66.41,19.87,200.04,1805.57,363.2,24.76,41.62,91.44
1,65,173.39,125.42,2,1758.41,2716.21,75.29,22.62,175.93,1880.19,406.01,25.53,39.59,119.04
0,57,230.89,85.51,1,1699.94,2288.67,63.67,19.04,244.06,1786.34,348.64,25.45,36.63,84.89
1,71,155.16,42.04,4,1035.87,2029.23,55.44,16.84,217.66,1835.04,318.51,27.58,36.67,42.75
0,54,175.7,87.34,1,1642.41,2214.75,61.58,18.46,235.17,1943.5,324.98,27.71,36.57,87.57
0,65,157.73,71.2,0,1380.98,1688.3,46.57,13.92,241.43,1871.79,236.84,29.57,32.29,71.49
1,79,174.06,94.12,4,1552.63,3029.44,83.84,25.2,213.21,1813.11,455.12,29.6,38.38,94.1
1,52,162.45,100.67,4,1742.49,3225.81,89.59,26.9,188.7,1867.53,521.23,29.2,35.48,99.51
0,78,192.37,51.17,1,1314.35,1703.39,47.33,14.33,260.82,1685.02,267.44,26.0,36.48,51.7
1,67,131.31,86.87,1,1456.08,2080.04,57.83,17.32,165.06,1969.22,294.83,29.05,36.07,86.37
0,65,183.67,67.3,0,1441.15,1810.42,50.29,15.08,247.66,1850.72,265.06,30.43,37.49,66.78
1,58,175.17,60.3,0,1310.41,1662.93,46.12,13.84,190.68,1888.34,257.01,29.19,34.46,56.06
0,16,152.3,89.46,0,1723.52,2293.75,63.35,18.94,208.8,1907.62,347.78,27.39,40.58,71.1
0,25,180.41,89.75,2,1826.79,2568.46,71.12,21.41,219.82,1917.87,421.15,28.14,38.51,71.35
1,21,144.2,99.85,2,1829.85,2492.47,68.97,20.73,207.86,1887.63,382.63,25.33,36.92,79.96
1,12,151.63,96.23,4,1872.38,3273.74,90.96,27.23,201.61,1812.21,542.0,28.1,39.22,77.29
1,11,170.65,89.87,3,1748.63,3240.59,90.14,27.13,196.5,1872.32,519.93,26.44,34.68,71.34
1,33,201.27,44.84,2,1341.18,1952.34,54.7,16.28,181.16,1782.46,322.09,28.88,39.98,35.53
0,30,205.23,64.75,2,1547.94,2206.38,61.58,18.37,256.09,1859.02,344.43,27.39,39.32,53.17
1,59,155.79,65.91,1,1230.03,1716.8,47.55,14.31,172.91,1939.78,251.42,28.61,31.43,65.78
0,46,190.0,92.8,4,1790.31,3339.15,92.79,27.83,245.18,1786.82,536.43,27.03,33.21,74.45
0,42,185.76,99.34,0,1955.02,2363.63,65.62,19.73,217.79,1824.75,347.79,25.4,38.99,79.02
0,29,138.5,65.57,0,1301.33,1750.96,48.52,14.62,222.54,1927.63,275.38,29.78,36.86,53.26
1,25,183.22,96.22,1,1909.07,2566.27,71.37,21.45,194.88,1836.42,406.89,26.79,38.38,77.22
0,32,189.42,76.79,0,1761.04,2261.27,62.88,18.94,211.41,1802.61,357.55,30.18,39.51,61.77
1,33,176.07,95.97,0,1830.77,2318.61,64.59,19.39,178.68,1880.09,362.03,28.22,38.0,77.12
1,52,151.66,46.42,4,1076.74,2233.91,61.83,18.61,194.41,2042.14,394.12,27.04,32.83,43.76
0,19,158.97,83.23,3,1662.1,3031.75,84.42,25.41,229.01,1941.05,504.21,24.93,45.44,67.56
0,65,168.97,52.01,1,1247.74,1671.07,46.91,14.0,254.31,1857.76,255.82,27.13,37.53,51.67
0,74,145.39,89.57,0,1500.96,2031.41,56.52,16.85,200.16,1870.02,267.65,27.05,37.97,89.66
0,72,157.16,93.83,0,1588.65,2012.09,55.81,16.69,231.07,1908.09,280.62,27.28,37.87,93.17
0,24,200.16,55.55,4,1499.91,2926.68,81.29,24.35,240.03,1846.57,501.83,27.85,38.69,45.61
1,73,174.13,61.0,0,1269.63,1641.76,45.62,13.76,198.46,1873.47,247.57,28.47,38.37,56.91
0,33,177.55,58.95,2,1420.68,2053.1,56.76,17.1,266.12,1874.76,330.11,28.91,36.89,48.12
0,19,176.32,67.75,0,1561.66,1985.32,54.94,16.55,232.92,1933.54,305.55,31.88,42.99,54.11
1,55,148.33,92.96,0,1549.41,2016.75,55.42,16.51,190.61,1932.27,287.27,28.35,31.27,91.93
0,36,183.21,79.92,2,1709.15,2479.85,68.7,20.7,240.24,1960.03,406.96,28.53,41.1,64.28
1,75,116.29,80.61,1,1309.0,2016.3,55.98,16.77,201.71,1965.07,288.73,31.11,37.51,78.66
1,38,197.04,67.46,0,1556.12,1957.62,54.69,16.27,162.79,1781.89,306.93,29.66,39.63,54.13
0,35,178.99,83.25,4,1701.51,3083.91,85.57,25.66,243.97,1919.41,489.21,26.08,39.13,67.87
0,69,166.6,57.08,0,1304.75,1639.98,45.19,13.58,240.83,1828.7,242.81,29.07,38.0,56.38
0,78,175.8,44.8,3,1239.46,2132.06,59.26,17.71,235.53,1636.57,335.71,26.29,38.84,43.73
1,72,184.05,65.25,4,1338.84,2372.95,65.41,19.56,190.33,1897.84,361.1,28.93,36.07,64.94
0,74,197.42,88.04,3,1657.63,3169.48,88.06,26.42,251.3,1916.35,457.24,25.55,38.12,88.24
0,20,188.55,87.25,4,1796.13,3268.07,90.94,27.29,230.84,1941.82,536.02,26.06,42.33,69.53
1,23,176.34,60.69,2,1412.78,2063.42,57.27,17.14,199.74,1871.99,336.05,28.11,37.23,48.22
1,21,170.99,45.07,0,1236.33,1673.68,46.56,13.99,191.92,1861.74,277.58,30.57,37.79,35.9
0,28,179.54,91.76,3,1820.84,3353.56,93.17,28.02,228.76,1859.61,532.48,28.16,39.42,73.37
0,79,180.55,100.21,1,1768.71,2519.21,69.97,20.94,245.43,1834.63,339.35,26.93,40.3,99.08
0,19,180.85,78.54,4,1759.74,2997.73,83.35,25.0,237.87,2045.39,506.01,29.3,44.76,62.75
1,69,165.9,95.74,3,1553.51,2989.07,82.79,24.79,184.38,1954.78,433.91,29.08,36.44,96.0
0,58,172.05,81.15,3,1589.71,2817.39,78.18,23.45,226.0,2099.42,458.83,29.04,38.8,77.97
1,27,164.92,54.59,0,1299.36,1682.47,46.57,14.02,212.3,1908.11,275.15,29.85,36.29,43.99
0,25,165.84,95.74,0,1837.43,2321.93,64.27,19.24,215.06,1788.22,362.17,27.26,40.14,76.81
0,32,157.47,87.64,1,1639.25,2317.4,64.08,19.35,218.83,1874.39,376.0,26.28,39.24,69.79
0,72,184.68,68.17,1,1443.7,1881.82,52.13,15.66,264.92,1863.5,279.37,29.23,39.64,68.25
1,51,181.47,96.3,4,1805.69,3241.23,90.11,27.03,186.79,1803.05,528.63,28.01,31.95,95.69
1,49,178.05,102.6,2,1854.04,2570.81,71.3,21.48,190.27,1799.92,392.69,27.32,36.81,89.29
0,29,167.55,46.17,1,1291.23,1815.73,50.87,15.27,245.16,1939.31,293.21,28.34,39.96,37.85
1,52,177.22,95.99,1,1715.79,2401.95,66.75,20.04,187.38,1819.36,353.94,28.64,36.26,95.66
0,37,162.92,81.89,4,1643.18,3051.74,84.81,25.49,247.28,1896.12,487.04,25.52,40.02,65.35
0,15,193.49,67.49,2,1715.69,2318.74,65.15,19.6,264.39,2045.05,365.91,29.23,44.76,53.99
0,14,142.77,82.84,0,1643.83,2287.47,63.58,19.03,211.67,1915.03,339.42,26.33,40.59,67.57
1,42,183.98,72.86,0,1536.52,1899.19,53.01,15.82,163.6,1843.23,298.04,28.9,36.84,58.89
1,71,203.67,84.56,1,1587.55,2194.12,61.09,18.28,204.16,1900.37,331.78,27.79,37.16,84.72
1,35,181.99,67.26,3,1468.7,2565.24,71.19,21.31,190.21,1911.16,442.53,27.08,36.86,53.85
0,57,172.07,74.57,1,1567.83,2068.74,57.77,17.28,237.89,1973.01,304.06,27.41,39.26,74.15
1,79,188.9,163.39,3,1780.51,3200.98,89.23,26.65,200.57,1920.77,461.46,27.17,38.34,118.33
0,46,166.54,118.88,0,1899.46,2472.97,68.96,20.57,234.47,1955.83,350.41,26.75,39.02,102.62
0,29,139.73,58.29,4,1240.76,2518.37,70.06,20.96,205.13,1908.78,421.46,28.94,37.67,47.75
0,52,194.97,127.59,2,2086.03,2958.98,82.04,24.57,241.23,1908.33,435.82,26.72,39.5,118.44
0,51,161.48,67.0,3,1427.51,2512.69,69.73,20.97,238.97,1945.07,439.45,27.09,36.39,66.8
1,13,180.72,103.78,0,1965.0,2418.35,67.05,20.15,201.72,1839.44,366.52,27.26,38.1,83.35
1,48,179.89,64.33,1,1348.56,1909.99,53.11,15.96,175.71,1823.74,298.6,28.2,35.05,58.78
0,51,179.78,68.66,0,1494.03,1916.1,53.11,15.95,241.44,1812.87,296.83,30.14,35.66,68.48
1,59,192.45,93.92,0,1778.5,2232.31,62.1,18.63,178.71,1842.17,323.4,28.09,34.14,93.03
0,15,159.32,128.95,2,2003.2,2908.85,80.69,24.28,257.91,1944.1,422.63,26.92,42.93,94.8
0,11,184.59,69.05,1,1635.08,2125.61,59.0,17.63,271.86,2024.32,334.52,29.54,41.57,55.15
0,61,150.09,61.07,1,1188.33,1682.86,47.11,13.99,207.6,1889.65,241.9,28.26,32.61,57.59
1,42,187.15,77.28,4,1639.63,2794.55,77.41,23.17,184.02,1901.62,478.33,26.64,37.71,61.88
1,30,192.29,61.32,1,1489.69,1984.98,55.16,16.52,186.34,1816.8,315.99,28.9,34.97,49.18
1,44,149.03,44.21,1,1042.18,1555.57,43.24,12.96,183.4,1871.62,256.88,27.85,37.01,35.26
0,15,152.86,29.88,2,1199.89,1800.76,50.94,15.25,198.85,1893.14,311.85,28.46,41.09,34.07
0,35,134.81,69.93,2,1326.17,1943.33,53.8,16.07,212.4,1928.14,299.2,27.6,36.69,56.19
1,69,212.5,68.4,3,1461.62,2287.31,63.48,18.93,188.17,1883.05,376.43,27.61,35.38,69.39
0,79,174.31,137.13,1,1785.12,2846.43,78.77,23.72,234.63,1892.49,371.28,25.99,40.96,118.26
1,32,194.59,92.48,1,1837.49,2462.67,68.22,20.48,178.31,1824.54,399.04,27.21,39.0,73.49
1,79,162.17,94.37,4,1511.03,3000.74,83.13,24.94,206.87,1815.16,443.59,29.61,38.84,94.29
1,74,175.97,99.41,3,1673.43,3048.12,84.36,25.35,207.81,1880.2,448.42,28.98,36.8,98.31
0,18,158.93,81.06,1,1655.13,2365.6,65.88,19.75,218.58,1916.39,386.62,29.12,45.11,65.4
1,79,184.01,73.29,3,1406.58,2366.03,65.87,19.75,199.94,1740.62,364.91,27.78,36.52,73.29
1,78,177.12,73.1,4,1353.8,2433.33,67.58,20.33,171.94,1775.49,384.22,26.97,38.15,73.07
0,28,144.04,52.13,0,1184.34,1612.05,44.73,13.59,216.05,1975.41,261.57,29.75,36.84,43.27
1,25,186.52,56.68,2,1450.08,2025.31,56.39,16.85,207.35,1830.62,335.25,28.73,35.82,45.63
0,59,170.07,75.88,3,1579.31,2675.91,74.33,22.31,240.34,1950.84,445.78,26.63,37.01,74.38
0,51,181.28,93.31,2,1728.16,2523.34,70.06,21.07,241.15,1823.32,391.46,28.39,35.56,91.23
0,21,150.59,110.77,1,1913.93,2587.62,71.29,21.54,202.77,1868.78,397.37,24.38,43.91,88.16
0,60,157.57,53.59,4,1256.44,2424.67,67.25,20.32,244.6,1998.33,398.85,27.35,33.2,52.76
1,40,203.61,86.03,3,1698.88,3091.28,85.81,25.71,190.37,1825.58,500.65,26.42,39.87,69.41
1,32,161.06,71.06,0,1407.35,1794.19,49.62,14.99,184.46,1926.65,281.75,29.96,37.14,57.0
1,12,148.42,114.53,1,1857.81,2565.73,70.9,21.27,205.58,1829.68,393.81,26.46,36.6,91.71
0,24,165.7,86.51,2,1691.95,2478.91,68.78,20.76,208.88,1799.32,392.25,25.74,40.01,69.15
0,61,151.47,74.16,1,1448.14,2029.31,56.43,16.83,195.87,1902.42,298.33,27.57,33.27,73.57
1,40,192.53,103.92,3,1907.13,3457.11,96.21,28.94,177.97,1772.2,558.62,23.83,39.1,83.28
1,79,149.52,104.81,4,1552.27,3061.12,84.86,25.45,203.08,1800.89,442.76,29.22,40.5,103.68
0,14,172.12,51.81,3,1378.42,2633.31,73.46,21.95,258.68,2072.65,456.92,29.29,43.96,43.96
1,78,177.16,75.5,4,1400.29,2436.64,67.55,20.32,171.54,1810.54,389.99,26.64,37.09,74.49
0,62,189.67,41.88,0,1306.03,1598.31,44.12,13.16,196.69,1830.63,259.83,29.7,38.05,43.31
0,10,195.6,53.48,4,1495.6,2850.78,79.11,23.63,253.43,1801.8,490.67,29.99,40.51,44.23
0,35,161.4,63.99,2,1371.09,2015.37,55.92,16.77,244.26,1895.35,325.61,26.45,39.92,53.11
0,46,194.62,36.63,3,1369.82,2566.74,71.35,21.68,220.98,1812.18,439.02,27.59,40.24,36.69
1,61,174.11,64.84,1,1287.46,1826.34,50.6,15.26,179.78,1991.84,270.49,29.69,36.55,64.9
0,71,181.07,79.88,3,1543.46,2520.81,69.46,20.72,241.35,2019.96,380.59,30.09,34.38,78.36
1,44,131.59,126.95,2,1725.77,2601.96,72.26,21.78,172.34,1951.58,392.89,25.26,37.85,96.26
0,40,164.4,98.59,4,1820.8,3408.14,94.38,28.32,256.04,1813.45,543.99,26.24,39.5,78.95
1,58,163.68,63.95,1,1264.16,1806.75,50.01,15.0,174.61,1955.95,260.24,27.96,37.08,64.56
1,66,154.34,43.71,1,1023.62,1458.94,40.36,12.13,193.43,1852.34,218.47,29.08,34.44,43.58
1,49,171.31,104.73,1,1814.52,2477.78,68.72,20.57,187.6,1816.12,353.71,27.54,38.45,97.01
0,33,170.41,78.33,4,1665.23,2855.17,79.47,23.78,237.03,1927.2,481.88,27.8,40.58,62.7
1,44,152.92,55.35,4,1192.79,2453.01,68.44,20.57,189.32,1975.56,416.87,26.58,35.51,44.65
0,37,172.6,54.29,2,1351.43,1964.08,54.32,16.32,259.43,2012.18,318.82,26.74,37.02,43.99
1,76,173.89,102.09,0,1660.85,2135.25,59.92,18.0,212.47,1899.79,306.28,29.03,41.29,100.41
0,19,174.61,131.7,4,2100.53,3744.46,103.59,31.27,246.1,2037.15,606.53,27.54,43.01,94.93
0,77,175.59,42.1,0,1202.88,1507.06,41.58,12.49,192.72,1752.34,238.9,27.51,41.17,42.71
0,74,128.02,75.08,3,1373.88,2226.24,61.17,18.44,206.04,1901.29,331.32,28.26,36.96,74.36
1,54,163.77,75.24,0,1451.76,1949.43,53.98,16.17,167.24,1913.32,283.47,28.1,37.43,73.42
0,14,190.64,26.41,0,1416.5,1772.52,49.76,14.96,222.08,1852.57,310.56,31.2,42.23,34.49
0,70,158.56,65.39,2,1296.04,1868.6,52.02,15.51,246.92,2036.87,278.99,29.38,34.43,64.89
0,55,144.06,60.14,4,1172.4,2240.65,62.56,18.75,210.02,1883.83,398.76,27.64,33.09,55.53
1,75,183.7,27.72,2,1158.67,1634.44,46.31,13.86,201.51,1821.01,263.7,27.57,39.8,43.02
1,36,145.06,116.68,4,1826.6,3362.85,93.39,27.98,186.1,1863.94,535.72,27.89,37.6,93.8
0,40,193.99,96.21,0,1951.5,2375.96,65.89,19.82,195.99,1854.6,359.28,27.64,39.25,76.92
1,60,182.93,63.49,2,1316.37,1983.94,55.27,16.62,181.4,1930.49,311.29,29.28,33.59,63.73
0,41,180.63,61.12,4,1457.62,2709.59,75.29,22.55,258.64,2009.83,458.86,26.48,36.51,48.97
0,47,166.95,84.1,1,1610.74,2129.69,58.94,17.68,232.27,1880.53,322.53,25.15,36.69,68.35
0,33,183.78,54.77,4,1437.06,2718.07,75.67,22.71,254.48,1884.83,458.17,29.31,37.35,44.62
0,35,167.71,65.44,1,1392.31,1918.41,53.28,16.0,245.14,1824.34,302.2,25.37,38.85,53.36
0,12,184.53,49.42,1,1428.97,1927.8,53.88,16.18,269.19,1961.95,316.75,29.91,41.88,39.09
1,14,158.58,48.95,4,1301.93,2599.05,71.87,21.64,213.88,1925.38,452.32,30.52,39.05,38.62
0,11,182.94,78.5,2,1769.89,2678.24,74.4,22.33,255.31,2058.87,436.16,30.06,42.69,62.89
0,22,154.35,71.05,0,1497.87,1864.5,51.48,15.55,205.68,1869.72,289.94,30.0,40.75,56.78
1,55,182.55,81.06,1,1530.57,2116.75,58.7,17.69,181.94,1845.17,324.19,30.41,36.67,77.72
1,53,171.67,80.14,1,1465.92,2052.56,56.95,17.13,181.02,1917.72,303.68,28.39,37.77,76.25
1,68,201.86,77.38,3,1540.44,2466.04,68.8,20.48,172.45,1940.29,405.47,28.47,35.03,77.67
0,59,170.93,78.63,3,1588.06,2729.13,75.87,22.75,239.86,2046.08,451.12,28.04,36.93,77.31
0,39,168.35,108.7,1,1876.06,2567.59,71.31,21.37,230.15,1808.82,375.58,24.56,42.23,87.53
1,36,173.88,50.59,3,1266.7,2333.84,64.4,19.44,189.89,1958.79,409.79,27.67,36.85,42.85
0,22,150.52,114.52,4,1926.57,3564.09,98.73,29.63,214.86,1884.23,572.16,26.87,40.84,91.78
0,51,173.13,79.3,2,1589.35,2337.74,64.78,19.56,230.53,2004.31,373.18,28.97,39.05,76.08
1,12,148.62,79.29,0,1577.97,2266.44,62.56,18.8,198.86,1928.13,338.03,31.65,35.29,63.68
0,40,152.15,77.43,4,1554.4,2737.93,76.29,22.83,202.54,1887.68,454.17,25.6,39.38,62.09
0,11,154.07,104.66,2,1931.86,2611.14,72.42,21.83,244.37,1844.06,404.7,25.75,43.08,83.14
1,46,162.51,63.43,2,1299.96,1960.78,54.43,16.33,153.65,1903.76,320.88,26.47,38.27,53.14
0,44,197.89,109.66,1,2013.66,2686.82,74.53,22.38,233.15,1750.12,406.4,25.02,40.16,89.52
0,49,189.88,87.92,3,1769.56,3223.85,89.85,26.88,229.69,1840.61,512.08,26.89,35.14,73.37
0,63,171.5,87.05,4,1647.62,3032.61,83.92,25.09,221.51,2104.75,476.12,26.52,36.83,87.11
0,10,194.45,105.32,1,2064.79,2759.29,76.64,22.92,261.14,1854.7,443.61,26.4,39.19,84.98
1,64,191.85,84.62,3,1625.45,2842.39,79.17,23.68,185.08,1959.3,467.2,28.12,35.56,84.52
0,25,172.03,98.96,4,1992.57,3559.43,98.55,29.63,244.48,1853.63,574.98,26.85,41.79,79.23
0,21,182.93,106.72,2,2045.0,2723.05,75.63,22.71,231.53,1838.66,431.45,23.93,41.42,86.01
0,57,160.33,53.43,1,1263.15,1716.92,47.55,14.26,237.35,1951.33,257.24,28.64,34.61,52.11
0,19,177.41,91.2,3,1819.81,3319.2,92.24,27.77,230.36,2046.13,532.3,28.28,42.69,73.42
1,53,153.59,80.74,4,1455.2,2735.77,76.52,22.93,173.28,1948.49,461.88,29.12,32.53,77.43
0,67,184.31,80.77,2,1599.11,2360.42,64.99,19.67,250.13,2021.89,359.16,31.08,35.73,78.36
1,47,176.92,64.51,2,1334.85,2000.86,55.59,16.67,179.05,1943.89,328.61,27.4,37.94,54.56
0,44,134.91,77.84,4,1521.44,2603.4,72.16,21.81,206.11,1910.4,422.75,28.87,36.72,62.23
0,21,189.16,89.03,0,1853.34,2354.78,65.56,19.64,197.02,1874.33,361.76,28.42,39.53,70.76
0,49,148.98,120.91,3,1819.03,3315.92,91.41,27.52,209.84,1957.61,513.8,24.62,37.47,116.33
0,26,154.95,112.76,2,1930.97,2708.43,75.26,22.6,221.25,1760.87,412.51,24.03,42.02,90.42
0,70,186.67,116.73,4,1859.06,3444.61,96.19,28.78,246.79,1951.0,492.88,28.72,38.67,116.9
0,13,179.89,36.4,0,1331.17,1738.68,48.81,14.63,225.3,1840.95,295.6,31.58,42.07,34.32
1,29,165.57,81.74,1,1626.65,2291.63,63.53,19.12,176.54,1840.05,373.6,26.48,40.41,65.5
1,59,146.79,121.18,2,1669.82,2586.46,71.71,21.59,173.08,1903.62,374.16,24.74,34.45,119.14
1,11,176.04,73.87,0,1643.66,2252.43,62.51,18.87,191.83,1930.71,340.89,31.44,39.61,59.02
0,24,176.35,70.67,4,1595.4,2943.06,81.87,24.54,253.81,1955.04,497.47,28.06,42.13,56.57
0,55,163.75,110.81,2,1841.69,2690.72,74.53,22.36,231.1,2011.29,392.34,26.47,41.88,110.34
1,18,139.09,45.44,1,1094.78,1562.41,43.69,13.03,189.94,2015.55,250.43,30.56,34.5,35.8
1,11,187.54,52.41,1,1391.31,1847.44,51.44,15.4,193.48,1876.72,303.68,30.35,36.56,44.11
1,80,176.91,84.14,1,1446.21,2081.98,57.8,17.38,214.44,1882.93,300.18,27.82,39.82,83.76
0,12,161.78,83.92,4,1672.68,3080.52,85.68,25.77,256.85,1897.68,510.57,25.66,44.71,67.72
0,13,166.86,113.12,0,1964.94,2479.28,68.88,20.6,251.31,1841.87,370.76,28.05,41.32,90.63
0,26,175.0,56.54,2,1419.3,2086.9,57.74,17.35,255.05,1905.28,334.02,28.48,39.18,45.45
1,12,196.58,108.51,2,2011.68,2721.54,76.07,22.67,183.02,1723.28,430.43,28.38,40.17,87.1
0,15,161.55,64.99,3,1445.32,2709.6,75.35,22.69,256.06,1936.18,473.24,28.8,45.12,53.18
0,50,173.16,101.77,3,1890.07,3304.18,92.11,27.61,236.36,1873.0,523.67,26.72,37.97,97.26
1,35,181.48,80.16,1,1620.48,2323.3,64.39,19.35,172.46,1890.27,379.55,28.91,38.53,64.53
1,17,203.48,87.06,2,1748.72,2622.38,72.83,21.83,185.3,1886.48,410.07,26.86,38.95,69.44
0,52,157.23,58.97,4,1379.8,2570.5,71.4,21.49,243.43,1931.18,443.9,27.52,33.34,52.71
0,34,158.53,61.14,3,1394.38,2504.67,69.51,20.86,240.64,1891.99,442.42,28.57,39.85,48.6
1,19,173.85,100.12,0,1940.55,2323.49,64.56,19.37,184.47,1882.34,358.62,26.12,40.13,79.88
0,50,170.96,112.21,0,1904.44,2383.4,66.35,19.78,223.81,1906.04,342.89,29.53,41.34,111.27
0,26,170.55,85.05,3,1697.47,3084.57,86.06,25.91,217.43,1824.57,501.89,25.36,42.67,68.73
0,76,200.07,59.05,1,1395.85,1803.71,49.87,15.09,253.23,1744.7,276.33,26.52,38.41,56.69
1,63,167.87,107.33,1,1703.82,2423.3,67.17,20.19,193.52,1907.7,347.41,27.36,40.08,106.92
0,10,204.66,67.26,0,1681.13,2099.93,58.63,17.47,240.18,1868.33,327.35,31.6,40.88,53.8
0,68,181.6,97.67,3,1792.14,3075.76,84.98,25.49,239.89,1889.75,453.96,27.06,37.23,97.34
1,62,179.52,67.93,0,1355.56,1789.84,49.74,14.89,174.36,1856.0,263.23,30.54,32.43,68.71
1,42,182.29,86.6,1,1650.27,2221.63,61.64,18.55,172.72,1900.23,349.8,27.6,37.67,69.44
1,63,162.2,119.52,0,1683.84,2192.76,60.71,18.31,171.0,2056.98,293.9,26.8,37.98,119.15
1,46,172.67,96.82,3,1777.56,3164.85,88.05,26.42,189.32,1884.59,512.7,27.1,37.08,77.96
0,56,173.92,77.55,3,1595.51,2756.62,76.6,22.97,231.06,2070.59,455.55,28.4,39.01,77.08
0,44,165.92,50.4,4,1322.6,2586.94,71.54,21.66,253.11,1944.24,436.92,25.53,34.8,42.9
1,47,212.41,99.35,3,1895.28,3370.29,94.19,28.2,193.06,1788.2,543.13,24.78,36.7,80.02
0,39,160.16,81.16,4,1601.0,2896.79,80.58,24.19,248.66,1863.19,480.71,28.15,38.8,65.03
0,15,163.82,134.87,0,1998.19,2564.59,70.87,21.27,253.32,1900.23,367.49,26.66,43.45,94.84
1,34,188.26,68.34,3,1523.96,2628.78,72.85,21.81,187.13,1861.12,465.16,28.55,37.93,54.49
0,70,178.23,95.2,0,1673.5,2173.36,60.55,18.17,226.81,1875.93,318.26,29.04,40.21,94.75
1,63,165.09,131.34,4,1740.3,3175.76,88.14,26.45,171.49,2024.41,526.86,27.81,38.94,119.24
1,57,144.82,65.15,2,1094.64,1754.31,48.99,14.67,186.58,1919.39,260.68,28.85,32.68,64.99
1,32,170.66,92.7,2,1737.82,2423.17,67.33,20.19,203.12,1818.2,387.9,26.39,37.77,73.58
1,24,191.92,101.54,2,1959.85,2652.72,73.52,22.07,187.72,1765.15,417.38,24.31,39.88,81.96
1,29,143.41,80.13,3,1529.38,2695.62,75.28,22.68,197.16,1922.72,465.81,29.72,35.9,64.34
